Fecha;Tarde/Noche;Centena;Fijo;1er Corrido;2do Corrido
19/5/2008;T;1;0;69;69
19/5/2008;N;8;17;19;5
20/5/2008;T;9;24;57;5
20/5/2008;N;8;64;62;38
21/5/2008;T;2;69;32;48
21/5/2008;N;9;81;15;18
22/5/2008;T;5;25;80;25
22/5/2008;N;6;74;50;71
23/5/2008;T;0;3;14;16
23/5/2008;N;6;90;54;56
24/5/2008;T;8;34;64;6
24/5/2008;N;3;82;10;27
25/5/2008;T;6;19;52;53
25/5/2008;N;0;61;94;0
26/5/2008;T;2;52;21;98
26/5/2008;N;1;59;11;0
27/5/2008;T;0;41;79;93
27/5/2008;N;9;17;91;24
28/5/2008;T;7;79;67;5
28/5/2008;N;5;29;65;26
29/5/2008;T;4;98;18;51
29/5/2008;N;0;49;95;58
30/5/2008;T;9;10;27;83
30/5/2008;N;6;64;71;83
31/5/2008;T;9;52;66;44
31/5/2008;N;9;41;93;11
1/6/2008;T;1;94;21;49
1/6/2008;N;3;84;44;13
2/6/2008;T;8;44;53;27
2/6/2008;N;7;51;86;73
3/6/2008;T;4;33;2;6
3/6/2008;N;0;44;92;97
4/6/2008;T;7;19;8;60
4/6/2008;N;2;49;14;13
5/6/2008;T;0;55;24;71
5/6/2008;N;6;7;85;39
6/6/2008;T;8;92;48;4
6/6/2008;N;6;62;36;7
7/6/2008;T;9;94;12;4
7/6/2008;N;9;90;12;22
8/6/2008;T;6;76;95;28
8/6/2008;N;8;87;57;31
9/6/2008;T;0;86;76;11
9/6/2008;N;8;54;36;79
10/6/2008;T;6;95;27;27
10/6/2008;N;2;85;45;78
11/6/2008;T;0;25;75;81
11/6/2008;N;7;46;33;9
12/6/2008;T;5;41;10;63
12/6/2008;N;8;99;71;26
13/6/2008;T;1;54;68;19
13/6/2008;N;9;61;22;94
14/6/2008;T;1;46;75;43
14/6/2008;N;1;52;60;84
15/6/2008;T;9;62;90;33
15/6/2008;N;0;15;54;34
16/6/2008;T;4;58;87;23
16/6/2008;N;3;22;97;21
17/6/2008;T;9;24;40;43
17/6/2008;N;5;83;38;27
18/6/2008;T;7;12;46;26
18/6/2008;N;7;82;90;71
19/6/2008;T;7;86;82;68
19/6/2008;N;8;3;30;54
20/6/2008;T;3;51;5;81
20/6/2008;N;5;25;59;16
21/6/2008;T;2;85;4;99
21/6/2008;N;7;83;53;10
22/6/2008;T;6;17;63;14
22/6/2008;N;5;67;41;64
23/6/2008;T;1;56;33;82
23/6/2008;N;0;12;63;90
24/6/2008;T;6;14;56;62
24/6/2008;N;2;60;79;73
25/6/2008;T;6;99;97;45
25/6/2008;N;1;75;4;20
26/6/2008;T;1;87;27;34
26/6/2008;N;2;26;79;23
27/6/2008;T;0;10;71;81
27/6/2008;N;8;70;94;63
28/6/2008;T;8;29;98;79
28/6/2008;N;9;27;75;12
29/6/2008;T;3;65;15;35
29/6/2008;N;7;2;87;49
30/6/2008;T;9;48;7;97
30/6/2008;N;1;97;26;14
1/7/2008;T;9;16;49;93
1/7/2008;N;5;27;84;82
2/7/2008;T;2;25;28;27
2/7/2008;N;6;8;53;99
3/7/2008;T;0;92;36;51
3/7/2008;N;4;60;20;45
4/7/2008;T;4;19;18;91
4/7/2008;N;1;2;71;1
5/7/2008;T;5;87;0;16
5/7/2008;N;8;10;91;60
6/7/2008;T;9;60;95;70
6/7/2008;N;4;55;1;44
7/7/2008;T;9;20;68;15
7/7/2008;N;7;7;83;63
8/7/2008;T;6;58;75;95
8/7/2008;N;5;63;74;60
9/7/2008;T;5;30;2;92
9/7/2008;N;1;95;54;50
10/7/2008;T;4;1;56;67
10/7/2008;N;4;31;41;29
11/7/2008;T;9;77;30;86
11/7/2008;N;3;30;66;63
12/7/2008;T;9;67;82;72
12/7/2008;N;5;0;30;95
13/7/2008;T;1;7;64;61
13/7/2008;N;1;40;25;90
14/7/2008;T;1;8;17;0
14/7/2008;N;0;9;76;17
15/7/2008;T;0;67;88;19
15/7/2008;N;9;27;66;11
16/7/2008;T;6;28;71;54
16/7/2008;N;3;69;47;78
17/7/2008;T;2;94;72;54
17/7/2008;N;8;43;7;5
18/7/2008;T;6;19;25;26
18/7/2008;N;9;87;99;51
19/7/2008;T;7;41;88;14
19/7/2008;N;9;7;96;89
20/7/2008;T;4;13;76;0
20/7/2008;N;4;52;58;25
21/7/2008;T;7;99;50;51
21/7/2008;N;5;80;1;71
22/7/2008;T;3;11;30;36
22/7/2008;N;4;73;31;3
23/7/2008;T;0;23;67;30
23/7/2008;N;6;5;56;21
24/7/2008;T;2;95;46;94
24/7/2008;N;5;22;79;14
25/7/2008;T;9;89;22;83
25/7/2008;N;9;34;74;77
26/7/2008;T;9;92;71;99
26/7/2008;N;6;8;57;45
27/7/2008;T;2;52;98;73
27/7/2008;N;0;14;96;48
28/7/2008;T;7;96;4;27
28/7/2008;N;4;45;76;96
29/7/2008;T;5;56;29;52
29/7/2008;N;4;20;83;11
30/7/2008;T;6;95;97;19
30/7/2008;N;3;49;95;27
31/7/2008;T;1;51;58;48
31/7/2008;N;8;64;24;43
1/8/2008;T;1;80;92;32
1/8/2008;N;2;77;37;47
2/8/2008;T;3;73;34;94
2/8/2008;N;2;70;19;20
3/8/2008;T;9;90;67;16
3/8/2008;N;0;73;55;0
4/8/2008;T;5;59;94;86
4/8/2008;N;4;93;97;62
5/8/2008;T;6;12;67;69
5/8/2008;N;3;74;82;24
6/8/2008;T;5;95;2;72
6/8/2008;N;4;21;27;56
7/8/2008;T;0;89;77;63
7/8/2008;N;9;28;8;24
8/8/2008;T;4;93;72;7
8/8/2008;N;1;36;34;92
9/8/2008;T;8;35;58;57
9/8/2008;N;7;10;13;15
10/8/2008;T;5;61;13;50
10/8/2008;N;1;42;85;13
11/8/2008;T;5;47;98;49
11/8/2008;N;3;33;17;57
12/8/2008;T;7;3;44;76
12/8/2008;N;2;59;79;83
13/8/2008;T;5;87;71;47
13/8/2008;N;5;50;92;86
14/8/2008;T;9;7;12;60
14/8/2008;N;2;11;41;9
15/8/2008;T;6;79;43;22
15/8/2008;N;6;67;99;52
16/8/2008;T;5;89;18;82
16/8/2008;N;4;35;39;5
17/8/2008;T;8;46;48;25
17/8/2008;N;3;9;34;25
18/8/2008;T;6;29;90;46
18/8/2008;N;9;53;31;58
19/8/2008;T;6;55;46;28
19/8/2008;N;9;44;19;58
20/8/2008;T;2;66;19;58
20/8/2008;N;6;10;15;2
21/8/2008;T;3;81;14;52
21/8/2008;N;5;84;63;96
22/8/2008;T;9;5;55;71
22/8/2008;N;9;95;35;77
23/8/2008;T;7;27;93;51
23/8/2008;N;9;8;82;47
24/8/2008;T;4;85;54;85
24/8/2008;N;2;90;1;28
